,Neighborhood,Latitude,Longitude
149,Bidadi,12.7988507,77.3869947
150,Bidaraguppe,12.8060574,77.7862873
151,Bijjahalli,12.44976,77.5438327
152,Budigere,13.1351402,77.74957
153,Budihal,40.1807801,-4.6963387
154,Byagadadenahalli,12.7426294,77.7014816
155,Bylanarasapura,13.1769973,77.9356007
156,Byramangala,12.7492546,77.4223044
157,Chakkere,12.6100353,77.1711855
158,Channarayapatna,13.2455918,77.797084
159,Chikkajala,13.1715801,77.6345704
160,Chikkanahalli,13.314318,77.7871125
161,Chunchanakuppe,12.9095576,77.386642
162,Dasanapura,13.0508851,76.9644144
163,Devanahalli,13.2483502,77.7134377
164,Devarahosahalli,13.9348185,76.0783359
165,Dobbespet,13.2307461,77.2425462
166,Doddabelavangala,13.2888795,77.4215754
167,Doddabele,13.2230654,77.3376846
168,Doddahejjaji,13.2708182,77.4152371
169,Doddajala,13.1767348,77.6520502
170,Doddakabballi,12.4418428,77.5160771
171,Doddanallala,13.0834921,77.8973974
172,Doddasanne,13.2177635,77.6941039
173,Doddasomanahalli,12.7901066,76.5178394
174,Dommasandra,13.0974753,78.4516588
175,Ganalu,12.3659908,77.2134662
176,Gangonahalli,13.1203112,77.0864791
177,Gantiganahalli,13.3600207,77.6032617
178,Garakahalli,12.4320101,76.8289688
179,Girenahalli,15.0126557,76.3879046
180,Gollahalli,13.7183597,77.579806
181,Gollahalli,13.7183597,77.579806
182,Gottigehalli,12.7209593,77.526767
183,Guddanahalli,12.6899567,77.725314
184,Gudemaranahalli,13.0514216,77.2638794
185,Hadonahalli,13.3692418,77.5449548
186,Hagalahalli,12.5542977,77.079945
187,Hanabe,13.3249793,77.4635565
188,Handenahalli,12.8259815,77.7673455
189,Harisandra,12.7867738,77.3040265
190,Harobele,12.4050244,77.426913
191,Harohalli,13.0244417,77.9387307
192,Harohalli,13.0244417,77.9387307
193,Hasigala,13.1345227,77.7756037
194,Heggadahalli,11.8792634,76.683914
195,Hegganahalli,13.2187326,77.6104355
196,Heggunda,13.2775355,77.2599783
197,Hejjala,12.8553687,77.4169835
198,Honnasandra,13.0406063,77.3373727
199,Honnayakanahalli,12.4540723,77.092583
200,Honniganahalli,12.4349571,77.2814516
201,Horalagallu,12.4769413,77.3990413
202,Hosadurga,13.7987759,76.2831034
203,Hosahalli,13.3500993,77.7429078
204,Hoskote,13.073014,77.7921381
205,Hosur,12.7328844,77.8309478
206,Hulikal,13.1381615,77.1475462
207,Hulikunte,13.5325903,77.2601097
208,Hullegowdanahalli,13.0603648,77.4065303
209,Hullenahalli,13.2312388,77.1081302
210,Hunasamaranahalli,13.1440103,77.6191241
211,Hunasanahalli,12.9844098,78.1705568
212,Huskur,12.8607674,77.7071019
213,Ibasapura,13.2431585,77.8215484
214,Jadigenahalli,13.0510014,77.8525514
215,Jagadapura,12.5053566,77.2264669
216,Jakkanahalli,13.3170855,76.6083581
217,Jakkasandra,13.2836364,77.5010643
218,Jalamangala,12.820985,77.2210866
219,Jalige,13.2265508,77.5843982
220,Kadabagere,12.9968992,77.4332254
221,Kadahalli,13.2731128,77.9938708
222,Kailancha,12.6672784,77.327378
223,Kalari,24.4707382,72.6968589
224,Kallahalli,13.1065809,77.7881984
225,Kalludevanahalli,12.8379111,77.1526738
226,Kalya,31.7498072,35.4661484
227,Kambalu,13.1668703,77.2386203
228,Kanakapura,12.5450268,77.4199095
229,Kanasavadi,13.2084418,77.4364151
230,Kanchugaranahalli,12.7229355,77.4436454
231,Kannamangala,13.2151923,77.6667197
232,Kannamangala,13.2151923,77.6667197
233,Kannur,11.94668945,75.3538772994719
234,Kanva,10.191463,8.991052
235,Karahalli,38.3584929,29.5312304320321
236,Kattigenahalli,13.0236672,77.8776606
237,Kembliganahalli,13.1303439,77.8836527
238,Kempasagara,12.9444363,77.1794388
239,Kodigehalli,13.0031666,77.7272835
240,Kodihalli,13.013635,78.3445339
241,Koira,21.9068705,85.2505093
242,Kolagondanahalli,12.4607683,77.6095243
243,Koligere,13.3021321,77.3921505
244,Kolliganahalli,12.7111621,77.4073992
245,Korati,31.80882385,-9.38136126206242
246,Kottagalu,12.6644649,77.3887453
247,Kudur,-6.8538494,111.075811
248,Kugur,12.0593135,8.7784405
249,Kumbalahalli,13.0924523,77.7929664
250,Kundana,13.257088,77.6284828
251,Kyasapura,12.7463402,77.200459
252,Lakkenahalli,13.7198461,77.7507448
253,Lakkojanahalli,12.6410179,77.2779274
254,Lakkur,12.7259455,76.2537773
255,Lakshmipura,13.4474189,78.2982452
256,Lakshmipura,13.4474189,78.2982452
257,Madabal,12.9136433,77.2289905
258,Madalakote,13.1149481,77.3107842
259,Madanayakanahalli,12.598853,77.092354
260,Madavara,17.1206754,77.3067602
261,Madigondanahalli,13.0694268,77.2084539
262,Magadi,12.9567353,77.2242281
263,Mahadevapura,14.4667215,76.5745227
264,Makali,13.4392417,77.4890962
265,Makali,13.4392417,77.4890962
266,Mallarabanavadi,13.0736036,77.3794648
267,Mallathahalli,12.9610667,77.5099088
268,Malur,13.0060343,77.9382839
269,Manchanabele,12.8668921,77.3344212
270,Manchanayakanahalli,12.835017,77.4172925
271,Mandibele,13.2682778,77.7880904
272,Mandigere,13.1641058,77.3703249
273,Mankunda,12.6651201,77.1422119
274,Manne,49.1772823,-1.3888152
275,Manniganahalli,13.0534939,77.1879262
276,Maralakunte,13.1322875,77.7048953
277,Marale,12.4511407,77.3997994
278,Marasandra,12.9804018,77.8739832
279,Marikuppe,13.0420279,77.2980295
280,Marsur,-0.3029971,-78.5513472
281,Mathahalli,13.1104415,77.443513
282,Mathikere,13.0328884,77.557374
283,Mayaganahalli,12.7706442,77.3353105
284,Mayasandra,13.3095936,77.6600805
285,Mayasandra,13.3095936,77.6600805
286,Medamaranahalli,12.7015058,77.4515986
287,Melekote,12.5570664,77.4151933
288,Mogenahalli,12.6993834,77.1321188
289,Motagondanahalli,13.4175052,77.3315108
290,Mudugere,13.5945716,77.4509326
291,Mugabala,13.1187669,77.8897585
292,Mullahalli,13.293062,78.0961866
293,Mylanahalli,13.1857757,77.6967689
294,NAGADENAHALLI,13.361187,78.0176067
295,Nagavara,12.6854086,75.9383995
296,Nandagudi,13.2032192,77.9013892
297,Narasandra,13.0642937,77.1729895
298,Narasipura,13.1100499,77.4630552
299,Narayanapura,13.3397035,77.763495
300,Narayanapura,13.3397035,77.763495
301,Nelamangala,13.0953024,77.3963586
302,Nelavagilu,13.2204772,77.9355841
303,Neriga,12.9117656,77.7765251
304,Obalapura,13.038915,77.975106
305,Purushanahalli,13.2375981,77.3917084
306,Rajaghatta,13.3252905,77.5918101
307,Ramanagaram,17.005308,80.7108898
308,Rameshwara,12.99365815,77.5678621969321
309,Rampura,24.4678894,75.4404322
310,Reddihalli,13.0800812,78.3669236
311,Sadahalli,13.2111088,77.647022
312,Sankighatta,13.0691707,77.092093
313,Sarjapura,12.8600866,77.7861352
314,Sasalu,13.2120243,77.1501711
315,Sathanur,10.3562095,78.6149883
316,Sathanur,10.3562095,78.6149883
317,Shanumangala,12.7949617,77.431982
318,Shettihalli,13.2086961,78.0481839
319,Shivagange,13.1781542,77.2287036
320,Shivanahalli,12.7238533,77.5753781
321,Shivanapura,13.0063924,77.8694356
322,Shivanapura,13.0063924,77.8694356
323,Shivapura,13.3075851,77.5660059
324,Singarajipura,12.5541658,77.2732718
325,Sogala,15.8481657,74.9635102
326,Soladevanahalli,13.0071985,77.3501716
327,Solur,13.0698018,77.2586709
328,Sondekoppa,13.0204419,77.3825478
329,Sugganahalli,13.1597295,77.1297452
330,Sugganahalli,13.1597295,77.1297452
331,Sulleri,12.5755915,77.1726962
332,Syakaladevanapura,13.2469014,77.4288809
333,Tagachagere,12.6293396,77.2310894
334,Tattekere,12.6728678,77.5737943
335,Tavarekere,12.8949057,78.2277071
336,Tavarekere S.O (Bangalore),12.963694,77.4014239
337,Thimmasandra,13.1238879,77.7733157
338,Thippasandra,12.973936,77.6509982
339,Tungani,-4.3796143,-79.4643585
340,Tyamagondlu,13.2146308,77.300428
341,Udukunte,13.1317713,77.2352971
342,Uganavadi,13.2365879,77.665414
343,Vanakanahalli,12.6720709,77.694284
344,Veerapura,13.3911226,77.8866177
345,Venkatagirikote,13.3274011,77.7336139
346,Vidyanagara,13.0184957,76.1088927
347,Virupakshipura,13.0240748,76.4696584
348,Vishwanathapura,13.2735285,77.6490994
349,Yadamaranahalli,12.4272488,77.3790828
350,Yadavanahalli,12.7898553,77.7514537
351,Yeliyur,12.5098958,76.8286606
